ano,id_municipio,id_municipio_nome,taxa_promocao_ef,taxa_promocao_em,taxa_repetencia_ef,taxa_repetencia_em,taxa_evasao_ef,taxa_evasao_em
2022,2611606,Recife,95.2,94.1,2.1,1.6,2.7,4.2
2022,2611606,Recife,94.5,89.4,1.8,2.7,3.1,5.8
2022,2611606,Recife,94.5,89.4,1.8,2.7,3.1,5.8
2022,2611606,Recife,94.1,88.1,1.7,3.1,3.4,6.3
2011,2611606,Recife,78.2,65.1,13.2,12.9,6.1,20.0
2011,2611606,Recife,92.0,89.8,5.1,4.2,2.8,5.6
2011,2611606,Recife,82.9,70.6,10.4,11.0,5.0,16.8
2011,2611606,Recife,82.9,70.6,10.4,11.0,5.0,16.8
2011,2611606,Recife,40.9,,6.8,,50.0,
2014,2611606,Recife,80.1,72.0,12.4,12.9,4.8,12.7
2014,2611606,Recife,91.4,90.3,6.1,4.4,2.3,5.1
2014,2611606,Recife,84.6,76.8,9.9,10.6,3.8,10.7
2014,2611606,Recife,84.6,76.8,9.9,10.6,3.8,10.7
2013,2611606,Recife,77.9,68.6,13.6,13.2,6.0,16.2
2013,2611606,Recife,83.5,74.2,10.4,11.0,4.5,13.3
2013,2611606,Recife,83.5,74.2,10.4,11.0,4.5,13.3
2013,2611606,Recife,92.5,89.2,5.2,5.0,2.2,5.4
2017,2611606,Recife,84.3,82.1,9.7,7.1,3.7,7.8
2017,2611606,Recife,87.7,84.4,7.5,6.2,3.3,7.1
2017,2611606,Recife,87.7,84.4,7.5,6.2,3.3,7.1
2017,2611606,Recife,92.6,91.3,4.4,3.4,2.8,5.1
2020,2611606,Recife,92.1,88.6,4.7,5.8,2.7,3.7
2020,2611606,Recife,92.1,88.6,4.7,5.8,2.7,3.7
2020,2611606,Recife,90.3,88.1,6.1,6.3,2.6,3.2
2020,2611606,Recife,94.5,90.2,2.6,4.3,2.9,5.3
2021,2611606,Recife,90.0,93.8,5.8,2.1,4.2,4.0
2021,2611606,Recife,93.3,91.4,2.8,1.5,3.5,6.1
2021,2611606,Recife,93.3,91.4,2.8,1.5,3.5,6.1
2021,2611606,Recife,95.6,90.7,0.7,1.3,3.1,6.7
2019,2611606,Recife,94.6,91.3,3.4,4.0,1.9,4.5
2019,2611606,Recife,90.4,86.4,5.7,5.3,2.9,5.8
2019,2611606,Recife,90.4,86.4,5.7,5.3,2.9,5.8
2019,2611606,Recife,87.4,84.9,7.3,5.8,3.6,6.2
2015,2611606,Recife,78.6,73.4,13.4,10.9,5.2,13.2
2015,2611606,Recife,92.1,90.1,4.5,3.4,3.3,6.2
2015,2611606,Recife,84.1,77.7,9.8,9.0,4.4,11.4
2015,2611606,Recife,84.1,77.7,9.8,9.0,4.4,11.4
2018,2611606,Recife,88.5,85.5,6.8,6.0,3.4,6.0
2018,2611606,Recife,88.5,85.5,6.8,6.0,3.4,6.0
2018,2611606,Recife,85.2,83.3,9.2,6.8,3.5,6.6
2018,2611606,Recife,93.2,92.2,3.4,3.5,3.3,4.1
2010,2611606,Recife,20.0,,53.3,,26.7,
2010,2611606,Recife,91.7,88.9,4.7,5.0,3.5,5.8
2010,2611606,Recife,80.3,66.2,11.2,14.9,6.5,18.3
2010,2611606,Recife,80.3,66.2,11.2,14.9,6.5,18.3
2010,2611606,Recife,75.0,59.6,14.2,17.8,7.9,21.9
2016,2611606,Recife,86.4,80.3,8.8,8.3,3.4,9.1
2016,2611606,Recife,86.4,80.3,8.8,8.3,3.4,9.1
2016,2611606,Recife,93.3,90.4,4.3,4.9,2.2,4.5
2016,2611606,Recife,81.6,76.8,11.8,9.5,4.2,10.6
2012,2611606,Recife,91.7,88.8,5.8,6.1,2.3,4.8
2012,2611606,Recife,76.8,66.3,14.0,14.0,6.0,17.4
2012,2611606,Recife,82.1,71.8,11.1,12.1,4.7,14.3
2012,2611606,Recife,82.1,71.8,11.1,12.1,4.7,14.3
2012,2611606,Recife,43.3,,20.0,,36.7,
2008,2611606,Recife,93.2,89.3,3.7,4.4,3.0,6.0
2008,2611606,Recife,67.2,48.1,13.9,10.2,17.5,41.1
2008,2611606,Recife,73.5,56.4,11.4,9.1,14.0,34.1
2008,2611606,Recife,73.5,56.4,11.4,9.1,14.0,34.1
2008,2611606,Recife,50.0,,8.1,,16.1,
2009,2611606,Recife,29.7,,43.2,,24.3,
2009,2611606,Recife,92.1,89.3,4.3,4.9,3.5,5.6
2009,2611606,Recife,77.5,61.5,11.5,15.1,8.8,22.3
2009,2611606,Recife,77.6,61.5,11.5,15.1,8.8,22.3
2009,2611606,Recife,71.6,53.3,14.5,18.2,11.0,27.2